Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Petr Čech,90,goldblue,Czech Republic,91,88,77,91,47,90,https://wefut.com/player/14/14021/petr-cech
Edwin van der Sar,89,legend,Netherlands,84,86,80,87,40,92,https://wefut.com/player/14/12087/edwin-van-der-sar
Jens Lehmann,88,legend,Germany,86,85,82,85,59,88,https://wefut.com/player/14/12080/jens-lehmann
David Seaman,88,legend,England,78,90,93,85,50,88,https://wefut.com/player/14/12079/david-seaman
Igor Akinfeev,88,goldblue,Russia,90,87,87,91,60,85,https://wefut.com/player/14/14189/igor-akinfeev
Thibaut Courtois,88,goldblue,Belgium,87,92,73,90,50,89,https://wefut.com/player/14/14163/thibaut-courtois
Manuel Neuer,88,green,Germany,91,88,91,93,55,88,https://wefut.com/player/14/15457/manuel-neuer
De Gea,87,goldblue,Spain,90,80,88,93,55,81,https://wefut.com/player/14/13899/de-gea
Manuel Neuer,87,green,Germany,88,85,91,90,55,85,https://wefut.com/player/14/15397/manuel-neuer
Gianluigi Buffon,87,goldif,Italy,92,80,66,82,46,92,https://wefut.com/player/14/13469/gianluigi-buffon
Casillas,86,worldcup,Spain,89,80,68,90,65,81,https://wefut.com/player/14/14235/casillas
Manuel Neuer,86,worldcup,Germany,87,81,91,86,50,82,https://wefut.com/player/14/14226/manuel-neuer
Morgan De Sanctis,86,goldblue,Italy,87,86,65,88,37,89,https://wefut.com/player/14/14116/morgan-de-sanctis
Stéphane Ruffier,86,goldblue,France,88,86,81,90,58,88,https://wefut.com/player/14/14098/stephane-ruffier
Bernd Leno,86,goldblue,Germany,91,88,88,92,50,88,https://wefut.com/player/14/14072/bernd-leno
Samir Handanovič,86,goldif,Slovenia,90,85,70,92,57,88,https://wefut.com/player/14/17129/samir-handanovic
Manuel Neuer,86,goldrare,Germany,85,82,91,87,50,82,https://wefut.com/player/14/3284/manuel-neuer
Casillas,86,goldrare,Spain,89,80,67,90,65,81,https://wefut.com/player/14/109/casillas
Gianluigi Buffon,86,goldrare,Italy,90,78,66,80,46,90,https://wefut.com/player/14/31/gianluigi-buffon
Andrea Consigli,85,goldblue,Italy,87,84,71,90,48,82,https://wefut.com/player/14/14127/andrea-consigli
Vincent Enyeama,85,goldblue,Nigeria,87,87,83,93,48,88,https://wefut.com/player/14/14109/vincent-enyeama
Hugo Lloris,85,goldif,France,88,82,74,92,63,83,https://wefut.com/player/14/17172/hugo-lloris
Samir Handanovič,85,goldif,Slovenia,89,82,70,90,57,86,https://wefut.com/player/14/13877/samir-handanovic
Petr Čech,85,goldrare,Czech Republic,85,82,74,85,45,83,https://wefut.com/player/14/485/petr-cech
Manuel Neuer,94,worldcup,Spain,82,79,78,85,60,91,https://wefut.com/player/14/14282/victor-valdes
Thibaut Courtois,84,worldcup,Belgium,82,88,69,86,46,84,https://wefut.com/player/14/14267/thibaut-courtois
Tim Howard,84,green,United States,89,86,77,90,50,88,https://wefut.com/player/14/15399/tim-howard
Joe Hart,84,goldif,England,87,79,79,89,56,83,https://wefut.com/player/14/12261/joe-hart
Thibaut Courtois,84,goldrare,Belgium,82,88,69,86,46,84,https://wefut.com/player/14/15477/thibaut-courtois
Thibaut Courtois,84,goldrare,Belgium,82,88,69,86,46,84,https://wefut.com/player/14/6794/thibaut-courtois
Salvatore Sirigu,84,goldrare,Italy,86,79,73,87,50,85,https://wefut.com/player/14/3366/salvatore-sirigu
Hugo Lloris,84,goldrare,France,86,80,74,89,63,81,https://wefut.com/player/14/3344/hugo-lloris
Samir Handanovič,84,goldrare,Slovenia,87,80,70,88,57,84,https://wefut.com/player/14/2822/samir-handanovic
Igor Akinfeev,84,goldrare,Russia,85,81,83,86,56,79,https://wefut.com/player/14/1910/igor-akinfeev
Federico Marchetti,84,goldrare,Italy,87,80,66,89,55,82,https://wefut.com/player/14/1531/federico-marchetti
René Adler,84,goldrare,Germany,86,81,76,86,46,83,https://wefut.com/player/14/1077/rene-adler
José Reina,83,worldcup,Spain,83,78,90,84,50,83,https://wefut.com/player/14/14306/jose-reina
Igor Akinfeev,83,worldcup,Russia,85,80,82,86,56,79,https://wefut.com/player/14/14303/igor-akinfeev
Salvatore Sirigu,83,worldcup,Italy,84,78,72,86,50,83,https://wefut.com/player/14/14298/salvatore-sirigu
