Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Cristiano Ronaldo,99,LW,toty,Portugal,98,99,90,99,42,89,https://wefut.com/player/15/13118/cristiano-ronaldo
Cristiano Ronaldo,98,LW,goldblue,Portugal,98,99,89,98,41,88,https://wefut.com/player/15/14732/cristiano-ronaldo
Lionel Messi,98,CF,toty,Argentina,97,96,94,99,41,74,https://wefut.com/player/15/13117/lionel-messi
Lionel Messi,97,RW,goldblue,Argentina,97,96,93,98,40,73,https://wefut.com/player/15/14731/lionel-messi
Cristiano Ronaldo,97,ST,special,Portugal,97,98,88,97,40,87,https://wefut.com/player/15/14418/cristiano-ronaldo
Cristiano Ronaldo,97,LW,purple,Portugal,97,98,88,97,40,87,https://wefut.com/player/15/14577/cristiano-ronaldo
Zlatan Ibrahimović,96,ST,goldblue,Sweden,84,98,91,97,45,98,https://wefut.com/player/15/14783/zlatan-ibrahimovic
Luis Suárez,96,ST,goldblue,Uruguay,92,99,92,98,55,94,https://wefut.com/player/15/14733/luis-suarez
Lionel Messi,96,RW,motm,Argentina,96,94,91,98,35,69,https://wefut.com/player/15/14436/lionel-messi
Arjen Robben,96,RW,toty,Netherlands,98,95,90,98,40,72,https://wefut.com/player/15/13116/arjen-robben
Lionel Messi,96,RW,goldif,Argentina,96,94,91,98,35,69,https://wefut.com/player/15/15194/lionel-messi
Cristiano Ronaldo,96,LW,goldif,Portugal,96,97,87,96,39,86,https://wefut.com/player/15/14276/cristiano-ronaldo
Lionel Messi,96,CF,goldif,Argentina,96,94,91,98,35,69,https://wefut.com/player/15/14066/lionel-messi
Pelé,95,CF,legend,Brazil,95,89,89,94,53,73,https://wefut.com/player/15/5656/pele
Neymar,95,LW,goldblue,Brazil,98,94,85,99,45,75,https://wefut.com/player/15/14738/neymar
Arjen Robben,95,RM,goldblue,Netherlands,97,94,89,97,39,71,https://wefut.com/player/15/14671/arjen-robben
Eden Hazard,95,LM,goldblue,Belgium,95,91,94,98,43,77,https://wefut.com/player/15/14592/eden-hazard
Cristiano Ronaldo,95,LW,motm,Portugal,95,96,86,95,37,84,https://wefut.com/player/15/14169/cristiano-ronaldo
Lionel Messi,95,CF,special,Argentina,95,93,89,97,33,66,https://wefut.com/player/15/12945/lionel-messi
Iniesta,95,CM,toty,Spain,81,79,97,96,67,71,https://wefut.com/player/15/13113/iniesta
Philipp Lahm,95,RB,toty,Germany,84,66,94,89,94,77,https://wefut.com/player/15/13092/philipp-lahm
Robert Lewandowski,94,ST,goldblue,Poland,87,93,81,94,45,87,https://wefut.com/player/15/14674/robert-lewandowski
Thomas Müller,94,CF,goldblue,Germany,88,96,95,89,55,83,https://wefut.com/player/15/14673/thomas-muller
Sergio Agüero,94,ST,goldblue,Argentina,95,97,86,97,37,77,https://wefut.com/player/15/14600/sergio-aguero
Ángel Di María,94,CAM,toty,Argentina,96,88,91,95,64,78,https://wefut.com/player/15/13114/angel-di-maria
Cristiano Ronaldo,99,LW,toty,Portugal,98,99,90,99,42,89,https://wefut.com/player/15/13118/cristiano-ronaldo
Cristiano Ronaldo,94,ST,goldif,Portugal,95,96,85,94,36,82,https://wefut.com/player/15/13007/cristiano-ronaldo
Lionel Messi,94,CF,goldif,Argentina,94,91,88,97,30,64,https://wefut.com/player/15/12799/lionel-messi
Franz Beckenbauer,93,CB,legend,Germany,82,69,83,79,94,81,https://wefut.com/player/15/2818/franz-beckenbauer
Carlos Tévez,93,ST,goldblue,Argentina,94,96,88,95,60,94,https://wefut.com/player/15/14802/carlos-tevez
Sergio Ramos,93,CB,goldblue,Spain,85,67,78,72,95,90,https://wefut.com/player/15/14735/sergio-ramos
Jérôme Boateng,93,CB,goldblue,Germany,86,60,80,80,96,92,https://wefut.com/player/15/14667/jerome-boateng
Diego Costa,93,ST,goldblue,Spain,89,96,75,89,50,95,https://wefut.com/player/15/14595/diego-costa
Alexis Sánchez,93,RW,goldblue,Chile,95,96,89,98,55,80,https://wefut.com/player/15/14591/alexis-sanchez
Zlatan Ibrahimović,93,ST,motm,Sweden,79,96,86,93,40,92,https://wefut.com/player/15/14287/zlatan-ibrahimovic
Toni Kroos,93,CM,toty,Germany,68,91,97,91,68,78,https://wefut.com/player/15/13115/toni-kroos
Thiago Silva,93,CB,toty,Brazil,86,65,79,78,95,89,https://wefut.com/player/15/13093/thiago-silva
Luis Suárez,93,ST,goldif,Uruguay,87,95,86,95,50,87,https://wefut.com/player/15/14428/luis-suarez
Arjen Robben,93,RW,goldif,Netherlands,95,93,88,96,38,70,https://wefut.com/player/15/14087/arjen-robben
