Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Lionel Messi,98,CF,green,Argentina,97,96,92,99,52,77,https://wefut.com/player/14/15467/lionel-messi
Cristiano Ronaldo,98,LW,toty,Portugal,98,97,87,98,54,92,https://wefut.com/player/14/12307/cristiano-ronaldo
Lionel Messi,98,CF,toty,Argentina,97,96,92,99,52,77,https://wefut.com/player/14/12305/lionel-messi
Lionel Messi,97,CF,goldblue,Argentina,95,95,91,98,50,75,https://wefut.com/player/14/14172/lionel-messi
Cristiano Ronaldo,97,LM,goldblue,Portugal,96,96,85,96,53,91,https://wefut.com/player/14/14171/cristiano-ronaldo
Lionel Messi,97,CF,green,Argentina,95,95,91,98,50,75,https://wefut.com/player/14/15382/lionel-messi
Zlatan Ibrahimović,96,ST,toty,Sweden,82,98,88,94,58,87,https://wefut.com/player/14/12306/zlatan-ibrahimovic
Franck Ribéry,96,LM,toty,France,96,89,91,98,54,62,https://wefut.com/player/14/12304/franck-ribery
Lionel Messi,96,CF,goldif,Argentina,93,93,88,97,46,71,https://wefut.com/player/14/13478/lionel-messi
Pelé,95,CF,legend,Brazil,95,88,87,93,64,81,https://wefut.com/player/14/12098/pele
Zlatan Ibrahimović,95,ST,goldblue,Sweden,81,96,87,92,57,85,https://wefut.com/player/14/14107/zlatan-ibrahimovic
Luis Suárez,95,ST,goldblue,Uruguay,89,98,86,98,64,88,https://wefut.com/player/14/14006/luis-suarez
Cristiano Ronaldo,95,LW,motm,Portugal,95,95,83,94,51,90,https://wefut.com/player/14/16593/cristiano-ronaldo
Xavi,95,CM,toty,Spain,72,80,97,93,74,60,https://wefut.com/player/14/12303/xavi
Iniesta,95,CM,toty,Spain,80,80,97,97,71,61,https://wefut.com/player/14/12302/iniesta
Lionel Messi,95,CF,goldif,Argentina,92,91,86,96,45,70,https://wefut.com/player/14/13335/lionel-messi
Lionel Messi,94,CF,worldcup,Argentina,92,89,84,96,44,69,https://wefut.com/player/14/14205/lionel-messi
Eden Hazard,94,LM,goldblue,Belgium,94,96,94,95,56,70,https://wefut.com/player/14/14007/eden-hazard
Philipp Lahm,94,RB,toty,Germany,85,64,92,88,92,75,https://wefut.com/player/14/12300/philipp-lahm
Thiago Silva,94,CB,toty,Brazil,87,68,81,79,95,91,https://wefut.com/player/14/12299/thiago-silva
Cristiano Ronaldo,94,LW,goldif,Portugal,94,94,81,93,50,89,https://wefut.com/player/14/12163/cristiano-ronaldo
Lionel Messi,94,CF,goldrare,Argentina,92,89,84,96,44,69,https://wefut.com/player/14/2531/lionel-messi
Gareth Bale,93,RM,goldblue,Wales,96,95,91,92,80,82,https://wefut.com/player/14/14169/gareth-bale
Arjen Robben,93,RM,goldblue,Netherlands,95,96,90,97,55,68,https://wefut.com/player/14/14067/arjen-robben
Sergio Agüero,93,ST,goldblue,Argentina,93,95,84,95,51,81,https://wefut.com/player/14/14020/sergio-aguero
Zlatan Ibrahimović,93,ST,motm,Sweden,80,95,86,91,57,84,https://wefut.com/player/14/16594/zlatan-ibrahimovic
Sergio Ramos,93,CB,toty,Spain,86,68,81,79,92,94,https://wefut.com/player/14/12301/sergio-ramos
Cristiano Ronaldo,93,LM,goldif,Portugal,93,92,80,92,49,87,https://wefut.com/player/14/12106/cristiano-ronaldo
Cristiano Ronaldo,92,LW,worldcup,Portugal,93,90,79,91,48,86,https://wefut.com/player/14/14262/cristiano-ronaldo
Paolo Maldini,92,CB,legend,Italy,86,53,82,65,91,87,https://wefut.com/player/14/12097/paolo-maldini
Carlos Tévez,92,ST,goldblue,Argentina,88,94,86,91,63,80,https://wefut.com/player/14/14126/carlos-tevez
Thiago Silva,92,CB,goldblue,Brazil,85,66,79,77,93,89,https://wefut.com/player/14/14101/thiago-silva
Philipp Lahm,92,CDM,goldblue,Germany,84,63,90,86,88,73,https://wefut.com/player/14/14071/philipp-lahm
Robert Lewandowski,92,ST,goldblue,Poland,88,92,77,91,59,89,https://wefut.com/player/14/14063/robert-lewandowski
Yaya Touré,92,CM,goldblue,Ivory Coast,83,86,87,86,89,90,https://wefut.com/player/14/14008/yaya-toure
Wayne Rooney,92,CAM,goldblue,England,81,93,90,87,63,86,https://wefut.com/player/14/13907/wayne-rooney
Arjen Robben,92,ST,green,Netherlands,94,93,88,95,53,65,https://wefut.com/player/14/15463/arjen-robben
Philipp Lahm,92,RB,green,Germany,84,63,90,86,88,73,https://wefut.com/player/14/15458/philipp-lahm
Eden Hazard,92,LM,green,Belgium,93,93,93,94,53,67,https://wefut.com/player/14/15366/eden-hazard
Luis Suárez,92,ST,green,Uruguay,86,95,83,95,61,84,https://wefut.com/player/14/15360/luis-suarez
Zlatan Ibrahimović,92,ST,goldif,Sweden,79,94,85,91,57,84,https://wefut.com/player/14/13355/zlatan-ibrahimovic
Cristiano Ronaldo,92,LW,goldrare,Portugal,93,90,79,91,48,86,https://wefut.com/player/14/333/cristiano-ronaldo
Lothar Matthäus,91,CDM,legend,Germany,86,85,86,76,87,75,https://wefut.com/player/14/12096/lothar-matthaus
Marco van Basten,91,ST,legend,Netherlands,83,91,72,78,51,87,https://wefut.com/player/14/12095/marco-van-basten
Ángel Di María,91,RM,goldblue,Argentina,92,87,90,91,62,70,https://wefut.com/player/14/14168/angel-di-maria
Sergio Ramos,91,CB,goldblue,Spain,84,67,80,78,90,92,https://wefut.com/player/14/14165/sergio-ramos
Arturo Vidal,91,CM,goldblue,Chile,84,89,90,89,86,78,https://wefut.com/player/14/14123/arturo-vidal
Giorgio Chiellini,91,CB,goldblue,Italy,81,64,73,66,93,90,https://wefut.com/player/14/14120/giorgio-chiellini
James Rodríguez,91,CAM,goldblue,Colombia,86,93,96,96,63,76,https://wefut.com/player/14/14106/james-rodriguez
